175, 215
176, 240
177, 266
181, 291
189, 317
201, 340
219, 360
242, 375
271, 378
297, 372
316, 356
331, 334
341, 310
347, 284
351, 258
352, 232
352, 208
196, 202
206, 189
223, 186
241, 189
257, 194
276, 193
291, 187
305, 182
320, 184
330, 193
267, 210
266, 226
266, 243
265, 260
249, 269
257, 272
266, 275
275, 271
283, 268
213, 217
223, 210
235, 210
244, 217
234, 220
222, 220
288, 214
297, 206
308, 206
316, 211
309, 216
298, 217
236, 303
246, 292
259, 288
269, 289
280, 287
293, 289
300, 299
294, 317
281, 328
269, 331
259, 330
246, 322
240, 304
259, 298
269, 298
280, 296
296, 300
280, 314
269, 316
259, 315
250, 0
0, 380
499, 0
250, 758
0, 0
499, 379
